Ticker,Company Name,PE Ratio,Market Cap,EPS,Dividend Yield
AAPL,Apple Inc.,27.40794,3380049346560,6.58,0.46
TSLA,"Tesla, Inc.",104.94136,1096685256704,1.67,
MSFT,Microsoft Corporation,33.92843,3770326974464,13.64,0.65
GOOGL,Alphabet Inc.,23.001116,2495873548288,9.38,0.41
AMZN,"Amazon.com, Inc.",37.209755,2440555659264,6.57,
